track,artist,album,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Fibonacci,Malz Monday,Fibonacci,1Myf95gPvCx4gq0dUcBwnT,0.563,0.686,5,-9.317,0,0.348,2.33e-06,0.331,0.642,176.344,159504,4
Making Moves with Puff,Craig Mack,Project: Funk Da World,4UmOTj2C2RIYvTWk5HqOf2,0.865,0.477,1,-9.557,1,0.324,0.000113,0.0497,0.888,93.975,264973,4
Came a Long Way (feat. BeWill),Chiddy Bang,Came a Long Way (feat. BeWill),6HqrZdDb0M18mF9NJGJOhq,0.87,0.365,11,-12.973,0,0.183,4.87e-06,0.115,0.437,94.999,235651,4
Drift Away (feat. Ab Soul),Pro Logic,The Prequel,24sQ7GmqLiUYHGMQoj4V2V,0.759,0.724,6,-4.913,1,0.0683,0,0.146,0.497,95.031,274547,4
Fully Hydrated,Black Smurf,Hustle God,3wYzAfVHFX3SmzXGMJT5wA,0.724,0.456,1,-10.487,1,0.0379,0,0.387,0.27,105.503,145554,4
Machinegun Rap,BluntOne,Orbiting Rawbits,347srEQ8iROGRPeXzbjRB3,0.765,0.501,10,-6.282,0,0.35,1.43e-05,0.121,0.254,89.397,163386,4
Facts,Loutribe Jigg,Facts,4vEHyJQ6DRcD6GvpaKhkTp,0.733,0.513,7,-11.431,1,0.277,0.00436,0.248,0.472,80.04,143498,4
Aries (YuGo) (feat. Pharrell & Station Wagon P),Mike WiLL Made-It,Ransom 2,59LUh4amaXhgrWh6mWKbCn,0.853,0.635,4,-3.82,0,0.0405,0,0.325,0.174,141.982,271752,4
Cali,TroyBoi,V!BEZ,2fCL3dywnp041nrktahTVt,0.836,0.676,1,-4.115,1,0.0935,0.677,0.0665,0.474,85.033,125647,4
This Is America,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5,-6.159,1,0.137,0,0.354,0.549,120.024,225773,4
No Time for Revolution,Haze,No Time for Revolution,1i2xYdIPxgmDCfhlfMPXO5,0.635,0.797,9,-4.927,1,0.306,0.000236,0.339,0.592,171.74,169033,4
Odio,Ufo361,808,4RNVu6nVWfHD8eeCcfmQ9t,0.782,0.529,1,-7.189,1,0.141,0.0315,0.152,0.119,140.024,217416,4
Bubblin,Anderson .Paak,Bubblin,6BvtitRX5lQC87YlA6rq0n,0.568,0.873,1,-5.22,1,0.265,0,0.367,0.547,106.783,209093,5
Last Last Fall,Jonwayne,Last Last Fall,0ibg7U6Q34ZZlGonapcx6c,0.46,0.471,6,-13.719,1,0.331,0.181,0.0563,0.176,81.039,284444,4
¿ Warum ?,Gzuz,Wolke 7,6HGleB7bjIUe6TtPK6JlIi,0.542,0.717,5,-4.241,1,0.405,0,0.131,0.483,159.91,192255,4
Hotboxen - Instrumental,Plusmacher,Hustlebach (Instrumentals),0o9IXmqBuz4SAx9P4RqXQZ,0.76,0.55,3,-6.771,0,0.0394,0.767,0.249,0.768,90.288,204198,4
Ellenbogen raus (feat. SSIO),Kontra K,Erde & Knochen (Deluxe Edition),4Q4eE605qHZPjAuan4MDY3,0.647,0.809,1,-4.464,1,0.327,0,0.185,0.432,95.816,165465,4
WIN,Jay Rock,Redemption,69WMdZSqdQwFgLVpbMsZ2J,0.879,0.595,1,-2.936,1,0.0889,0,0.391,0.355,125.994,215227,4
Senseless - Remix,Stefflon Don,Senseless (Remix),3O3VkFcW34oKuCgJdQ0W2H,0.544,0.621,1,-4.557,1,0.139,0,0.101,0.747,101.337,173438,4
True to the Game (Crip God Remix),Daz Dillinger,True to the Game (Crip God Remix),6AA0TckWmqJqWicOnDMNeX,0.649,0.686,9,-3.581,1,0.382,0,0.0936,0.432,104.231,304065,3
Hungry Before the Bite,LGP QUA,Hungry Before the Bite,62aDJOFxmETTNzTjdonbRm,0.627,0.805,10,-5.703,0,0.287,0,0.11,0.746,90.554,143220,4
Elevator Music,Asheru and Blue Black of The Unspoken Heard,Soon Come...,0YYhMtbLtLpLgcQUZ8Wvzg,0.642,0.648,11,-7.159,0,0.279,3.91e-05,0.365,0.715,89.611,370987,4
Hip 2 Da Game,Lord Finesse,The Awakening,3yjVsUq8psgcHm8SQrZ8i4,0.769,0.752,11,-6.0,1,0.324,2.96e-06,0.0564,0.527,90.228,243107,4
Lil Arrogant (feat. Joey Bada$$ & Russ),IDK,Lil Arrogant (feat. Joey Bada$$ & Russ),2DP3SfAM8g1hKPXKWyDptv,0.538,0.708,2,-4.451,1,0.389,3.58e-06,0.286,0.532,77.079,195576,4
Scene,J Hus,Big Spang - EP,2CjaatlrlnDCsDZKBNgDsD,0.596,0.815,10,-2.026,0,0.351,0,0.109,0.697,149.933,228613,1
That's Gangsta,Ras Kass,Van Gogh,73Qgwao3awktPziidJOb6x,0.537,0.837,6,-3.757,1,0.43,0,0.267,0.843,181.207,248880,4
One Night Stand,Capital Bra,Berlin lebt,4i2DmyVwf29lEdmLGNTyGM,0.645,0.636,5,-6.128,0,0.437,1.49e-06,0.0818,0.897,101.933,162335,4
V.I.M.,Radamiz,Nothing Changes If Nothing Changes,0TsWuLgnoirRHiufjRVNS7,0.621,0.803,4,-4.483,0,0.304,1.57e-06,0.886,0.675,168.961,180227,4
Reverse (Ft. G-Eazy),VIC MENSA,Reverse (Ft. G-Eazy),3qAyjdhtnU2a14rrRKEkcE,0.836,0.703,0,-4.732,1,0.107,0,0.124,0.213,144.959,211893,4
Gelbstich,Various Artists,Beats on Road Vol. 1,7niUZWARcEMEntcEOeiTH4,0.74,0.265,1,-11.693,1,0.0461,0.973,0.115,0.412,82.04,117774,4
Rigor Mortis - MOBBMIX,OG Keemo,Audio Archiv,1GUVtZCyRP45bF8EwpIumF,0.629,0.653,7,-7.174,1,0.414,0,0.116,0.197,85.771,250778,4
Programs,Mac Miller,Programs,1883mCuSqnfnrWoq8i3myH,0.88,0.569,10,-6.517,0,0.221,5.82e-05,0.214,0.474,134.924,190187,4
Me and Mine,Dizzy Wright,Don't Tell Me It Can't Be Done,5QmP3WK7ddD34Tmd0T7j4E,0.818,0.543,9,-9.949,0,0.122,0,0.135,0.433,126.937,241476,4
Come Over,The Internet,Hive Mind,2hPNuVVSV1tqiD2uPlfehz,0.529,0.598,8,-7.951,1,0.187,0.171,0.189,0.691,92.01,321853,4
Black Panther,Lady Leshurr,Black Panther,6u5ABizn3h4viCcg2AD7Cl,0.88,0.571,5,-10.326,1,0.291,1.84e-06,0.0796,0.461,111.947,162857,4
Back It Up,Ras Kass,Van Gogh,4L83NKbsKGE5OXvw29j1Zq,0.888,0.479,8,-5.028,1,0.432,0,0.0988,0.796,99.951,254520,4
Another Introduction - Another 06 Demo Mix,Damu The Fudgemunk,"How It Should Sound, Foundations, Vol. 1 & 2 (Demos)",0L5uJWVJlRDxS3yztqpF2n,0.735,0.454,11,-10.205,1,0.0734,0.672,0.059,0.484,93.204,139953,4
Where's My Towel,Cookin Soul,Soul Beach,1kg8LgAVH1Alo9IgW18RrG,0.784,0.735,7,-7.385,0,0.235,0.354,0.104,0.932,81.135,106667,4
YungSwegLawd,Black Josh,Yung Sweg Lawd,6lfrZdC7Jy73UKF24fXb2c,0.781,0.678,7,-9.524,1,0.262,1.84e-06,0.296,0.621,84.946,231843,4
Cripn 4 Life,Snoop Dogg,Cripn 4 Life,7snmoms8JIOuFuBjFENOOY,0.741,0.656,1,-4.337,1,0.259,0.000512,0.119,0.68,80.526,190807,4
Open Book,Stalley,"Tell the Truth Shame the Devil, Vol. 3",4LOc15STIqOPJauKJm1lAl,0.562,0.754,11,-6.3,0,0.278,0,0.124,0.652,79.61,190123,4
Ominous,Tedy Andreas,Ominous,1YdyF6s3COsT8rDsZd4juH,0.779,0.672,1,-6.499,1,0.295,0,0.0985,0.533,79.014,236000,4
Harlem Anthem - From Uncle Drew Original Soundtrack,A$AP Ferg,Harlem Anthem (From Uncle Drew Original Soundtrack),7MnMvXMzvsbzKrKVZxuEIS,0.527,0.794,1,-4.698,1,0.122,0,0.361,0.393,112.685,188800,4
Pusher,Said,Pusher,2F3wEc1l5IpphbHnsnAmc1,0.381,0.691,10,-5.503,0,0.252,0,0.15,0.216,83.422,210020,4
Verano,Said,Verano,4ljEFmyLoR2cSrIwaBOcII,0.461,0.853,11,-3.947,1,0.294,1e-05,0.34,0.387,85.153,202974,4
Small Worlds,Mac Miller,Swimming,4gT3mNJA8lnlkYFqGZ8IA2,0.516,0.546,5,-9.105,1,0.249,4.5e-06,0.0995,0.515,78.267,271733,4
Got Friends,GoldLink,Got Friends,1PVza5KmhSJhz12OewWciE,0.691,0.75,10,-3.934,0,0.347,0,0.123,0.345,143.744,226963,4
Advice to My Younger Self,Apollo Brown,No Question,6QuohDBaqzCKGTL2vik6Ej,0.681,0.727,2,-7.242,1,0.317,0,0.172,0.273,85.718,193861,4
Another Lifetime,Nao,Saturn,48WTGGIeSFD5ZMF51Rm4Y9,0.452,0.317,9,-9.403,0,0.0478,1.5e-05,0.184,0.272,59.561,209467,4
Rich Sex (feat. Lil Wayne),Nicki Minaj,Queen,2D1MK9oaxy7axXggy3iVbp,0.879,0.635,9,-5.098,1,0.259,0,0.0786,0.568,146.97,192600,4
Berlin lebt,Capital Bra,Berlin lebt,5FGtzUgxycYideaPBFdkaV,0.651,0.655,2,-6.652,1,0.373,1.45e-06,0.104,0.393,78.665,183829,4
435,"Tyler, The Creator",435,5xJeZ6tLPOXNIrrphEIuay,0.539,0.804,10,-5.504,0,0.172,0.000185,0.463,0.798,85.752,93840,4
Hades,Bushido,Mythos,46Zp8uVjBCEVeSUDsZ8EwI,0.758,0.725,1,-4.88,1,0.117,0,0.141,0.705,93.994,182400,4
Auf Entspannt (feat. Sido),Estikay,Auf Entspannt,5mi8VQC6JCfblDjYBA2msI,0.831,0.719,2,-5.237,1,0.222,0,0.268,0.742,94.054,217387,4
Favorite,Leon Thomas,Genesis,0mYzFrdOZLnDCDdgjsnSjx,0.714,0.494,0,-6.033,0,0.409,5.6e-06,0.136,0.645,80.008,211045,4
Pull Up (feat. Joey Bada$$ & A$AP Ferg),Powers Pleasant,Life Is Beautiful,7mLEKl1ibbtfQq2P9HdKgI,0.853,0.596,4,-6.3,0,0.189,0,0.517,0.433,132.991,181067,4
GRABBA,Kidaf,GRABBA,4mkLlvrhBVZs8SZq1djcY0,0.835,0.681,0,-5.934,1,0.322,0,0.23,0.646,100.521,145672,4
Pretty Boys,Kasai,Pretty Boys,2i4vlBwZSV9A5zx1sfvfX9,0.75,0.651,0,-4.649,0,0.206,6.28e-06,0.294,0.733,85.957,196608,4
You Know My Steez,KXNG Crooked,You Know My Steez,2taoFwQpTGIggBH2lrwOJi,0.611,0.584,6,-6.024,1,0.33,0,0.106,0.895,88.027,180715,4
Strictly 4 All,Teknical Development.is,Strictly 4 All,1aNBthjSCJuQL6MSm0PBhA,0.807,0.766,10,-4.785,1,0.136,0.000161,0.149,0.279,94.97,242526,4
YourWorthIt.org,Dax,YourWorthIt.org,3DxtnHDCabvJ1axKuAp3WK,0.636,0.681,5,-7.429,1,0.466,0,0.0775,0.669,100.551,182741,4
Ballin,Luciano,Ballin,1ZxBGZ7pxkh0VwFRp6biXk,0.863,0.719,6,-4.871,0,0.117,0.000205,0.122,0.432,106.977,199387,4
Fresh Prince Of Belaire,Dave East,Fresh Prince Of Belaire,7lJFAkuLq3wWIw1mUxlqob,0.53,0.754,0,-8.674,1,0.424,0,0.0699,0.561,159.677,208728,4
Sowieso,Chefket,Sowieso,4FwJtRvcgtGcrHsmuqaZrs,0.769,0.727,8,-4.115,1,0.145,0,0.148,0.337,155.023,231027,4
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,STAY DANGEROUS,0ZNrc4kNeQYD9koZ3KvCsy,0.745,0.346,1,-7.709,1,0.331,0,0.0881,0.112,203.911,237240,4
In My Feelings,Drake,Scorpion,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1,-5.833,1,0.125,6e-05,0.396,0.35,91.03,217925,4
Face the World,Nipsey Hussle,Crenshaw,0A1owXuxPwqTQPqOJcmUGz,0.595,0.798,11,-10.198,1,0.446,0,0.196,0.392,92.114,237013,4
Pigs Theory,Jayy Grams,Grime & Basslinez,0DKnAcEUktIMWUGdMRYE7W,0.547,0.678,10,-6.557,1,0.509,0,0.208,0.493,159.468,148399,4
5 Wagon,Meyhem Lauren,Glass,2iOCEiSIxjF02O1zFvcCCA,0.573,0.644,2,-5.721,1,0.251,0,0.0884,0.658,168.385,140000,4
Knightslikethis,fresco.,Moribund,3r8Kvy3g0WYcdm6MO647cJ,0.761,0.561,9,-7.344,0,0.384,0,0.0817,0.888,79.961,168837,4
Weed Flower Pot Heads,Teknical Development.is,Strictly 4 All,3EN3bPWUwXOPh0gP6lrPf0,0.669,0.738,7,-4.626,1,0.345,0.000822,0.109,0.324,177.958,258876,4
Jumpy - Remix,Ambush Buzzworl,Jumpy (Remix),036PX1JS8vS4NRrVNfi5D1,0.694,0.818,10,-5.317,1,0.443,0,0.083,0.599,126.895,281575,4
Wala Cam,Chance the Rapper,Wala Cam,2cEnYJKLSZPH7MFSk6C05c,0.846,0.809,2,-3.619,1,0.287,0,0.151,0.267,85.011,216277,4
September 16,Russ,September 16,7a5RvlW5tMU0AZ4tvbGLhn,0.679,0.376,1,-12.39,1,0.395,0,0.115,0.321,123.352,249867,4
Here I Am,Rick Ross,Trilla,67yGTWcR72BZvsrSS2dHST,0.746,0.717,10,-5.788,0,0.127,0,0.0704,0.475,109.754,209547,4
Phamus As Phuck,Chuuwee,AmeriKKa's Most Blunted 2,5OpEcbW3eBIEEXcSezRKWG,0.722,0.708,5,-5.862,1,0.251,0,0.304,0.393,102.063,254159,4
A Glorious Death (feat. Flatbush ZOMBiES),A$AP Twelvyy,12,7z7cVLaaSflYWIlkgPrUGA,0.694,0.595,10,-5.926,0,0.298,4.52e-06,0.0628,0.138,119.859,225200,4
Nothin' At All (feat. Skoolie 300),Chuuwee,Amerikkas Most Blunted,4IiI9lpobMyEbhV5VstNs7,0.628,0.588,11,-9.506,0,0.291,0,0.406,0.491,83.13,271778,4
GIGI (ZKITTLEZ) (feat. 6ix9ine),GRiNGO,Alle Freunde Fett,6I0XHKJaLcO9Kb6vugFEgN,0.768,0.854,1,-4.086,1,0.26,0,0.302,0.658,91.995,176000,4
Complicated,Mura Masa,Complicated,2mssuAa5xshIx2c06p1c2F,0.867,0.639,7,-5.778,0,0.0888,0.0111,0.225,0.736,99.977,213907,4
Album of the Year - Freestyle,J. Cole,Album of the Year (Freestyle),6rDaCGqcQB1urhpCrrD599,0.705,0.816,10,-7.046,0,0.32,0,0.476,0.929,94.211,138872,4
NY BABY (feat. Bodega Bamz),Marlon Craft,NY BABY (feat. Bodega Bamz),22AdKAEcnAVyYRVNXvutdl,0.854,0.447,1,-9.113,1,0.319,6.28e-05,0.0959,0.223,110.084,212055,4
Car Confessions,Young M.A,Herstory in the Making,3yiwscHz9UiXp7PPWcV3S8,0.51,0.828,0,-4.37,1,0.363,0,0.587,0.142,160.194,261532,4
Pretty Girl,Stefflon Don,Pretty Girl,7tn8Tdh4FhGbCrv3CEVxVr,0.702,0.715,6,-4.303,1,0.311,0,0.0794,0.642,189.847,194050,4
Before You Get a Boyfriend.,Phony Ppl,mō'zā-ik.,4J3eFXXi2nQqF6MWLprnbR,0.537,0.756,4,-6.524,0,0.321,8.87e-05,0.0917,0.714,81.449,253029,4
Bruce Banner,Mick Jenkins,Bruce Banner,3fQPrft05Y9Tl8WqZJJeQy,0.734,0.693,6,-8.765,1,0.301,1.23e-06,0.111,0.441,170.013,225882,4
U Say U Do,Asal Hazel,U Say U Do,57ILwzlDaJe8KACGC2uIlM,0.668,0.427,11,-9.183,0,0.0682,2.18e-05,0.122,0.633,86.006,156279,4
les éléphants,TEK.LUN,les éléphants,213UTVXeRSaTzTvwHEEmCa,0.847,0.64,1,-5.98,1,0.245,0.0386,0.0764,0.554,118.051,200040,4
Tell Me Why,Russ,Tell Me Why,5SH1T719ICzdSV29y8GtoM,0.611,0.449,2,-8.938,0,0.294,0,0.226,0.224,166.179,142013,4
Universal Studios (feat. Wiz Khalifa),The Alchemist,Universal Studios (feat. Wiz Khalifa),4KCqupPPNVTZKRHbNn6iCa,0.49,0.714,1,-7.333,0,0.339,0.000153,0.305,0.571,151.786,226900,4
Mythos,Bushido,Mythos,4c1QhJ8QcjczDEphxMakeX,0.7,0.726,8,-6.049,1,0.123,0,0.145,0.584,91.649,244427,4
Sundress,Shelley FKA DRAM,That's a Girls Name,1lJlcytaNfNjf3JaBXTYlL,0.777,0.673,2,-4.655,1,0.0764,0,0.273,0.634,94.031,194906,4
Barbie Dreams,Nicki Minaj,Queen,6Poyf51k7W3NKnsGwAI90B,0.85,0.787,8,-4.134,0,0.338,0,0.194,0.7,87.983,279867,4
Why iii Love The Moon.,Phony Ppl,Yesterday's Tomorrow,2x5Frs6ts14U4MSLrQQlXg,0.706,0.483,1,-7.929,1,0.0393,1.94e-06,0.136,0.663,92.002,331827,4
Soft Top - Original,Thutmose,Run Wild EP,2tkk6AsugZsdEW07548059,0.577,0.809,9,-4.543,1,0.0655,1.9e-06,0.18,0.299,147.024,192109,4
Keep It Real,Miilkbone,Da' Miilkrate,1I8DHdu9jHhEbk8NvGrQb6,0.824,0.458,1,-10.489,1,0.26,0,0.327,0.535,90.469,222867,4
Style Wars,Chuck Strangers,Consumers Park,6djjUOSyqWDFm6LsejN7kg,0.6,0.555,10,-10.614,0,0.293,1.9e-05,0.704,0.643,80.0,236834,4
Cromb,Kenji,Settling In,3q71cTQcUvLwV4MFW1NFuE,0.769,0.351,1,-7.382,0,0.322,5.56e-06,0.0817,0.345,84.99,186375,4
Ned Flanders (feat. A$AP Ferg),MadeinTYO,"Sincerely, Tokyo",2EUNZfjPToKZIahK0WMLKd,0.936,0.495,1,-6.062,1,0.229,0,0.087,0.299,139.951,161013,4
Sinner,Ric Wilson,Banba,2qOki9HRTDPFM0IA7o30zV,0.864,0.578,1,-8.693,1,0.347,0,0.133,0.708,78.06,271241,4
Too Much Pressure,Count Bass D,Too Much Pressure,01g7gtqIi6oTWmZgUOHnq8,0.778,0.656,10,-5.545,0,0.243,0,0.106,0.725,87.958,187595,4
Pieces (feat. 50 Cent),Tory Lanez,MEMORIES DON'T DIE,4fdXiz0uJKg3HUOVj1p6iL,0.746,0.749,1,-7.875,1,0.5,0,0.094,0.658,113.241,348333,5
The Hop,A Tribe Called Quest,"Beats, Rhymes & Life",7f1UEGMBMuXfLBP5XANfrW,0.927,0.517,1,-6.489,1,0.361,0,0.174,0.616,95.525,207467,4
The Flute Song,Russ,ZOO,6pGuOWYOFDcSgmVvFWRWSv,0.789,0.524,1,-7.942,0,0.273,0,0.221,0.343,138.064,147600,4
Oomps Revenge,Trippie Redd,LIFE'S A TRIP,3GOZyiebYv432EnVy9XwzE,0.579,0.587,9,-8.383,0,0.355,0,0.112,0.705,85.732,120551,4
Tribe (with J. Cole),Bas,Milky Way,0YAQnYt2oB8OdoaeqnHyTI,0.755,0.594,7,-5.906,1,0.216,0,0.107,0.237,178.929,238053,4
Let It Go,Millyz,Saints & Sinners,0CUZnVyEhlhWVKFXzxSxpX,0.62,0.823,9,-4.992,0,0.208,0,0.133,0.645,92.032,191739,4
Masi Masi,Genetikk,Masi Masi,6cc2rbDI2VLVQFr5hVwUyP,0.847,0.789,2,-6.219,1,0.282,0,0.112,0.341,97.029,173350,4
25,Salomon Faye,25,4m9Tg40uYoicDQWhQHMgsy,0.533,0.925,6,-5.287,1,0.239,1.52e-05,0.128,0.649,146.043,306417,4
Decisions,Apollo Brown,Mona Lisa,6lUMfmvtdoiNLcfJDLlWvR,0.41,0.566,8,-8.818,0,0.286,0,0.144,0.527,81.665,201209,4
Dior 2001,RIN,Planet Megatron,6WusSsncC0Oo9sFHKwQii6,0.694,0.688,5,-5.923,0,0.0577,0.0929,0.124,0.517,76.476,192941,4
If I Was Drake,Arsonal da Rebel,If I Was Drake,2p4JlDtjHKoJWhVCoiMt6I,0.589,0.683,11,-5.183,0,0.356,0,0.163,0.519,153.994,244611,4
Deja Vu,WESTSIDE BOOGIE,Deja Vu,4FVF6TcmiuysKHL9dI8aki,0.797,0.343,9,-9.327,0,0.267,0.00048,0.0841,0.486,147.945,105547,4
Bodega Remix (feat. Fetty Wap),Mir Fontane,Bodega Remix (feat. Fetty Wap),2rQ3N1nC8SvkE8VFTT8xDL,0.69,0.582,4,-5.671,0,0.173,0,0.0788,0.463,141.988,192676,4
Crown Holder,Skyzoo,In Celebration of Us,0b5nN1lRIr3YxmbmeUBd08,0.697,0.918,11,-5.539,0,0.364,0,0.803,0.378,97.08,222067,4
Just A Fan (For the Culture),Anoyd,Blame It On Jay Z,2zGezykP4tK3yMcflbCO3i,0.715,0.822,6,-4.304,1,0.355,0,0.15,0.145,85.215,231944,4
Rxdical Forever,Anonymuz,There Is No Threat,0blBnxZjYFjP1DsyAuBo1O,0.634,0.706,7,-7.139,1,0.0814,0,0.246,0.214,139.985,144043,4
Anxietea.,Curtis Roach,Anxietea.,2awdx1oPTqd3HFEm2g4asg,0.549,0.792,1,-5.61,0,0.167,0,0.165,0.739,85.16,183458,4
Broke,Samm Henshaw,Broke,1JqcZQCnxjDOfZZwQidb1H,0.751,0.684,1,-4.325,1,0.303,5.92e-06,0.18,0.864,89.984,207722,4
Money Right,Dizzee Rascal,Don't Gas Me,2tl23RrczaSyVeiCwWzVDs,0.801,0.765,2,-5.944,1,0.167,0,0.235,0.405,150.002,200080,4
Plattenbauromantik,Plusmacher,Plattenbauromantik,1T8R2rxIIAPXayzWGvfeZ0,0.557,0.639,6,-7.604,0,0.376,0,0.0394,0.552,67.148,184682,5
Chilln,Rola,12:12,2JgnVCSmwMnhurqy2LzCpX,0.741,0.443,10,-3.986,0,0.121,0,0.071,0.781,92.002,170987,4
Rotation 112th (feat. Rich The Kid) - Remix,Jay Rock,Rotation 112th (feat. Rich The Kid) [Remix],1T6ExogT7pI6wmoRG7Wcqv,0.804,0.752,9,-4.496,0,0.248,0.000101,0.106,0.358,87.967,297827,4
Come Inside (Kaytranada Edit),Lou Phelps,002 / LOVE ME,3jQL0t4Jg4EZ77oNEvjEtN,0.673,0.663,5,-7.159,0,0.363,0,0.186,0.373,107.79,266599,4
Black Rose,Ghetts,Ghetto Gospel: The New Testament,5ZbkkdxjGtrXMOmGD0Ml7K,0.603,0.406,11,-11.331,0,0.228,7.36e-06,0.11,0.806,90.079,239173,4
The Return,Logic,YSIV,5ZcMWSpUeUPvO87FkSZbJB,0.801,0.958,11,-4.412,0,0.177,0,0.0833,0.652,90.012,252053,4
Energy (Stay Far Away),Skepta,Energy (Stay Far Away),11RIJRbBfyLlJut96itSFd,0.836,0.614,8,-4.543,0,0.311,9.86e-05,0.088,0.603,101.97,199521,4
Keep It Real,Jamal,"Last Chance, No Breaks",0l2yyB35jQNVx5BedzPWLc,0.597,0.666,2,-11.345,1,0.331,1.1e-06,0.106,0.415,169.894,204133,4
I Love It (& Lil Pump),Kanye West,I Love It,4S8d14HvHb70ImctNgVzQQ,0.901,0.522,2,-8.304,1,0.33,0,0.259,0.329,104.053,127947,4
Litness - Diztortion Remix,MoStack,Litness (Remixes),04b4yp7yGwnIYZdx8sVUoC,0.508,0.575,0,-5.312,1,0.407,4.91e-05,0.0526,0.882,212.008,174469,4
Everybody Dies,Logic,YSIV,2Egoo3acImq7hV6TfYV90E,0.784,0.922,2,-3.92,1,0.152,3.48e-06,0.377,0.836,94.082,250213,4
Crazy,Cypress Hill,Elephants on Acid,6qaKXrWW5tBzVZh6IYq8X3,0.709,0.922,10,-3.656,1,0.221,0,0.52,0.947,122.83,172309,4
Deadly Combination (feat. 2Pac),Big L,Deadly Combination (feat. 2Pac) [Single],1KcMbl8yNMYq8qnuWf3HSH,0.901,0.513,1,-10.029,1,0.305,0,0.267,0.628,91.477,152373,4
How To Get Away With,Nate Husser,minus 23,16rXAA9qf63RZcgs9ECgei,0.709,0.671,11,-6.441,0,0.425,0,0.174,0.585,139.959,125604,4
Shook (feat. Benny the Butcher & Meyhem Lauren),Elcamino,Walking on Water,4luuhXSrHgHzCOOJP4D9E5,0.465,0.704,2,-8.565,1,0.506,0,0.114,0.737,83.959,246548,4
Moment (feat. Wiz Khalifa),KYLE,Moment (feat. Wiz Khalifa),0oXIvlG6j5mCeViCB1E6Lv,0.712,0.656,11,-6.441,1,0.0787,0,0.122,0.278,144.018,188351,4
Double Up (feat. Stalley & Freddie Gibbs),Joey Fatts,Double Up (feat. Stalley & Freddie Gibbs),59AoWAGN60yAtukdOQFDsT,0.704,0.372,0,-9.777,1,0.307,0,0.12,0.156,132.374,286416,4
6 Feet Deep (Pt.1),Lee Bannon,Hot N Ready,1XOWxlZlpl0FCupGsHcVsj,0.781,0.699,1,-3.307,1,0.38,0,0.0964,0.853,90.512,89147,4
Barbie,Azizi Gibson,Xenophile,3haMFdoS8mrRJzxBawx3fT,0.939,0.545,8,-8.195,0,0.0395,0.000361,0.112,0.554,124.919,204716,4
Signs,Ace Clark,Signs,7zkaouteXPkBC6JqCIfdyU,0.707,0.757,10,-7.441,0,0.437,0,0.161,0.532,94.551,278313,4
Angles,Young Chris,The Network 5,2ZNcAfxfxoBtkDGHGS1Mkh,0.498,0.883,1,-6.121,1,0.274,3.56e-06,0.922,0.278,109.017,220212,4
Lost Souls (feat. DJ Scratch),H.E.R.,I Used To Know Her,1eoK3PDzSmdvj55FUhptJk,0.709,0.793,7,-6.351,1,0.339,0,0.123,0.836,94.965,151667,4
Jefe (feat. Meek Mill),T.I.,Jefe (feat. Meek Mill),595Sl1FDWMXRUktv5LO2gD,0.713,0.825,2,-5.25,1,0.288,0,0.58,0.742,127.95,208486,4
B Fine,Noveliss,Cerebral Apex,09ZTiuYSBEQ0Ma9cerrVX1,0.693,0.736,6,-5.885,0,0.406,0,0.108,0.622,83.351,220262,4
"Get The Strap (feat. Casanova, 6ix9ine & 50 Cent)",Uncle Murda,"Get The Strap (feat. Casanova, 6ix9ine & 50 Cent)",4FC2oIKWbXNOq6NThyFxSQ,0.611,0.929,7,-3.265,1,0.484,0,0.0379,0.587,78.072,190514,4
For The Record,HDBeenDope,For The Record,6q9iEArkX66rayVe2KYowm,0.882,0.324,7,-11.233,0,0.197,0.000655,0.142,0.255,146.015,141370,4
Falling - 2013 Japan Remaster,LeBlanc And Carr,Midnight Light,2niFXRDFTmgLjPYNkcA2no,0.385,0.395,0,-9.332,1,0.0247,4.66e-05,0.197,0.298,93.898,192227,4
151 Rum,JID,DiCaprio 2,22WV03i2lBbwNVCE1g671p,0.756,0.867,7,-3.626,1,0.162,0.00285,0.33,0.666,129.983,156780,4
Offence,Little Simz,GREY Area,4cakdyTV2GRb9ktqBNMChH,0.776,0.811,2,-5.273,1,0.0876,0.000494,0.333,0.582,116.696,168522,4
White Bronco,Action Bronson,White Bronco,0AFVQA2Ht64OzMAer4aQ8n,0.449,0.667,11,-8.092,0,0.308,6.37e-06,0.113,0.085,80.751,164906,4
Cocoa Butter,Action Bronson,Well Done,3Ewv4TxbUW3Wbpn5aNrPJR,0.622,0.837,1,-5.698,1,0.191,0,0.187,0.632,85.922,257984,4
Headspace,Gavlyn,Headspace,0NTuU9JZH0ynmCr63rtZVw,0.6,0.712,2,-5.671,1,0.335,0,0.114,0.259,168.009,161583,4
No Weakness Part 2,Jae Rashidi,No Weakness Part 2,1urePpz7HLWLNYSF1zzJJR,0.739,0.758,0,-7.624,1,0.299,6.9e-06,0.352,0.791,121.969,200902,3
Ahead of My Time,Anti Lilly,Ahead of My Time,5nSrNZnwiEu0Y9oQEeYPoM,0.782,0.598,3,-8.459,0,0.581,0,0.098,0.896,85.825,148372,4
